,Région,Annonce,Année,Argus,Prix,Vendeur,Version,Comparaison
0,ile_de_france,https://www.leboncoin.fr/voitures/1136394587.htm?ca=12_s,2014,10212,9600,Professionnel,LIFE,Moins
1,ile_de_france,https://www.leboncoin.fr/voitures/1148864542.htm?ca=12_s,2014,9908,10990,Professionnel,INTENS,Plus
2,ile_de_france,https://www.leboncoin.fr/voitures/1306769563.htm?ca=12_s,2017,13984,15000,Particulier,ZEN,Plus
3,ile_de_france,https://www.leboncoin.fr/voitures/1147612495.htm?ca=12_s,2015,11405,9500,Professionnel,LIFE,Moins
4,ile_de_france,https://www.leboncoin.fr/voitures/1101078242.htm?ca=12_s,2013,9335,9490,Professionnel,LIFE,Plus
5,ile_de_france,https://www.leboncoin.fr/voitures/1167828367.htm?ca=12_s,2016,14508,11690,Professionnel,ZEN,Moins
6,ile_de_france,https://www.leboncoin.fr/voitures/1171143468.htm?ca=12_s,2014,10212,9600,Professionnel,LIFE,Moins
7,ile_de_france,https://www.leboncoin.fr/voitures/1303806454.htm?ca=12_s,2013,10744,9000,Professionnel,ZEN,Moins
8,ile_de_france,https://www.leboncoin.fr/voitures/1178596024.htm?ca=12_s,2014,10212,9100,Professionnel,LIFE,Moins
9,ile_de_france,https://www.leboncoin.fr/voitures/1303298657.htm?ca=12_s,2014,10212,9600,Professionnel,LIFE,Moins
10,ile_de_france,https://www.leboncoin.fr/voitures/1166590040.htm?ca=12_s,2014,N/A,10990,Professionnel,N/A,
11,ile_de_france,https://www.leboncoin.fr/voitures/1303298374.htm?ca=12_s,2014,11578,10400,Professionnel,ZEN,Moins
12,ile_de_france,https://www.leboncoin.fr/voitures/1166018156.htm?ca=12_s,2016,14508,11990,Professionnel,ZEN,Moins
13,ile_de_france,https://www.leboncoin.fr/voitures/1166018166.htm?ca=12_s,2016,14508,11990,Professionnel,ZEN,Moins
14,ile_de_france,https://www.leboncoin.fr/voitures/1187231493.htm?ca=12_s,2014,10212,9490,Professionnel,LIFE,Moins
15,ile_de_france,https://www.leboncoin.fr/voitures/1187231658.htm?ca=12_s,2014,10212,9490,Professionnel,LIFE,Moins
16,ile_de_france,https://www.leboncoin.fr/voitures/1120100372.htm?ca=12_s,2016,14248,14000,Professionnel,INTENS,Moins
17,ile_de_france,https://www.leboncoin.fr/voitures/1164288784.htm?ca=12_s,2015,12436,11500,Professionnel,INTENS,Moins
18,ile_de_france,https://www.leboncoin.fr/voitures/1164238082.htm?ca=12_s,2014,11578,10100,Professionnel,ZEN,Moins
19,ile_de_france,https://www.leboncoin.fr/voitures/1186775046.htm?ca=12_s,2016,14508,11390,Professionnel,ZEN,Moins
20,ile_de_france,https://www.leboncoin.fr/voitures/1154896368.htm?ca=12_s,2014,10212,8980,Professionnel,LIFE,Moins
21,ile_de_france,https://www.leboncoin.fr/voitures/1186340864.htm?ca=12_s,2014,10212,10300,Professionnel,LIFE,Plus
22,ile_de_france,https://www.leboncoin.fr/voitures/1186340768.htm?ca=12_s,2015,13348,11700,Professionnel,ZEN,Moins
23,ile_de_france,https://www.leboncoin.fr/voitures/1163364537.htm?ca=12_s,2014,10212,10600,Professionnel,LIFE,Plus
24,ile_de_france,https://www.leboncoin.fr/voitures/1184849743.htm?ca=12_s,2015,12436,10990,Particulier,INTENS,Moins
25,ile_de_france,https://www.leboncoin.fr/voitures/1183788805.htm?ca=12_s,2017,13984,16480,Professionnel,ZEN,Plus
26,ile_de_france,https://www.leboncoin.fr/voitures/1183337869.htm?ca=12_s,2014,9908,10590,Professionnel,INTENS,Plus
27,ile_de_france,https://www.leboncoin.fr/voitures/1183091992.htm?ca=12_s,2015,12436,10500,Particulier,INTENS,Moins
28,ile_de_france,https://www.leboncoin.fr/voitures/1182420995.htm?ca=12_s,2014,11578,10900,Professionnel,ZEN,Moins
29,ile_de_france,https://www.leboncoin.fr/voitures/1182361545.htm?ca=12_s,2016,14508,12999,Professionnel,ZEN,Moins
30,ile_de_france,https://www.leboncoin.fr/voitures/1138649404.htm?ca=12_s,2016,14508,11690,Professionnel,ZEN,Moins
